Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Bucorvus cafer,1,NA,NA,3000,0,NA,NA,NA
Buettikoferella bivittata,1,1000,NA,NA,NA,1100,0,del Hoyo (2020)
Bulweria bulwerii,2,NA,NA,50,0,200,0,del Hoyo (2020)
Bulweria fallax,2,NA,NA,NA,NA,200,0,del Hoyo (2020)
Buphagus africanus,2,NA,NA,3000,0,1800,0,del Hoyo (2020)
Buphagus erythrorhynchus,1,3000,NA,3000,0,NA,NA,NA
Burhinus bistriatus,1,NA,NA,1000,0,NA,NA,NA
Burhinus capensis,1,NA,NA,2000,0,NA,NA,NA
Burhinus grallarius,3,NA,NA,900,0,700,0,del Hoyo (2020)
Burhinus oedicnemus,3,NA,NA,1310,0,2300,0,del Hoyo (2020)
Burhinus senegalensis,1,NA,NA,1880,0,NA,NA,NA
Burhinus superciliaris,1,NA,NA,200,0,NA,NA,NA
Burhinus vermiculatus,1,NA,NA,1800,0,NA,NA,NA
Busarellus nigricollis,1,NA,NA,500,0,NA,NA,NA
Butastur indicus,3,NA,NA,1800,0,2000,0,del Hoyo (2020)
Butastur liventer,1,800,NA,1500,0,1500,0,del Hoyo (2020)
Butastur rufipennis,1,NA,NA,1200,0,NA,NA,NA
Butastur teesa,1,NA,NA,2000,0,NA,NA,NA
Buteo albicaudatus,1,2400,NA,2400,0,NA,NA,NA
Buteo albigula,3,3500,0,3500,0,NA,NA,NA
Buteo albonotatus,1,500,NA,2800,0,3000,0,del Hoyo (2020)
Buteo archeri,1,NA,NA,NA,NA,2500,1500,del Hoyo (2020)
Buteo augur,1,5000,NA,5000,200,NA,NA,NA
Buteo auguralis,1,NA,NA,2500,0,NA,NA,NA
Buteo brachypterus,1,2300,NA,2300,0,NA,NA,NA
Buteo brachyurus,1,2500,NA,2500,0,NA,NA,NA
Buteo buteo,2,NA,NA,3600,0,4300,0,del Hoyo (2020)
Buteo galapagoensis,1,1700,0,NA,NA,NA,NA,NA
Buteo hemilasius,1,NA,NA,5000,1000,NA,NA,NA
Buteo jamaicensis,3,NA,NA,3000,0,3200,0,del Hoyo (2020)
Buteo lagopus,3,NA,NA,1200,0,1200,0,del Hoyo (2020)
Buteo leucorrhous,1,3000,NA,3200,1000,NA,NA,NA
Buteo lineatus,3,NA,NA,1000,0,2500,0,del Hoyo (2020)
Buteo magnirostris,1,2500,NA,2600,0,NA,NA,NA
Buteo nitidus,1,NA,NA,1800,0,NA,NA,NA
Buteo oreophilus,1,4500,0,4500,0,NA,NA,NA
Buteo platypterus,3,NA,NA,3000,0,3000,0,del Hoyo (2020)
Buteo polyosoma,2,5000,500,5000,0,5000,0,del Hoyo (2020)
Buteo regalis,3,NA,NA,2000,0,2000,0,del Hoyo (2020)
Buteo ridgwayi,1,2000,NA,2000,0,NA,NA,NA
Buteo rufinus,3,NA,NA,3500,0,3500,0,del Hoyo (2020)
Buteo rufofuscus,2,NA,NA,3500,1000,3500,0,del Hoyo (2020)
Buteo solitarius,1,2700,0,NA,NA,NA,NA,NA
Buteo swainsoni,3,NA,NA,2290,0,2800,0,del Hoyo (2020)
Buteo ventralis,2,1200,0,1500,0,1500,0,del Hoyo (2020)
Buteogallus aequinoctialis,1,NA,NA,100,0,NA,NA,NA
Buteogallus anthracinus,1,500,0,1800,0,2000,0,del Hoyo (2020)
Buteogallus gundlachii,1,NA,NA,300,0,NA,NA,NA
Buteogallus meridionalis,1,NA,NA,1000,0,NA,NA,NA
Buteogallus urubitinga,1,NA,NA,1800,0,NA,NA,NA
Buthraupis aureodorsalis,1,3500,3150,3700,3000,NA,NA,NA
Buthraupis eximia,1,3800,2000,3800,2750,3800,2000,del Hoyo (2020)
Buthraupis montana,1,3500,1800,3700,1800,NA,NA,NA
Buthraupis wetmorei,1,3650,2900,3650,2900,NA,NA,NA
Butorides striata,1,NA,NA,4050,0,NA,NA,NA
Butorides virescens,1,NA,NA,1500,0,NA,NA,NA
Bycanistes albotibialis,1,NA,NA,4054,0,NA,NA,NA
Bycanistes brevis,1,NA,NA,2600,0,NA,NA,NA
Bycanistes bucinator,1,NA,NA,2200,0,NA,NA,NA
Bycanistes cylindricus,1,NA,NA,4054,0,NA,NA,NA
Bycanistes fistulator,1,NA,NA,600,0,NA,NA,NA
Bycanistes subcylindricus,1,NA,NA,2600,0,NA,NA,NA
Cacatua alba,1,900,0,NA,NA,NA,NA,NA
Cacatua ducorpsii,1,1700,0,1700,0,NA,NA,NA
Cacatua galerita,1,1400,NA,1400,0,NA,NA,NA
Cacatua goffiniana,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Cacatua haematuropygia,1,NA,NA,NA,NA,1800,0,del Hoyo (2020)
Cacatua leadbeateri,1,300,0,1000,0,300,0,del Hoyo (2020)
Cacatua moluccensis,1,1000,0,NA,NA,NA,NA,NA
Cacatua ophthalmica,1,1000,0,950,0,NA,NA,NA
Cacatua pastinator,1,400,0,NA,NA,NA,NA,NA
Cacatua roseicapilla,1,NA,NA,800,0,NA,NA,NA
Cacatua sanguinea,1,400,0,800,0,400,0,del Hoyo (2020)
Cacatua sulphurea,1,1200,0,1200,0,NA,NA,NA
Cacatua tenuirostris,1,400,0,500,0,NA,NA,NA
Cacicus cela,1,1000,0,1300,0,NA,NA,NA
Cacicus chrysonotus,1,3600,1800,3300,1800,NA,NA,NA
Cacicus chrysopterus,1,2800,0,2800,0,NA,NA,NA
Cacicus haemorrhous,1,1200,0,1000,0,NA,NA,NA
Cacicus koepckeae,1,700,300,700,300,NA,NA,NA
Cacicus leucoramphus,1,NA,NA,3600,2000,NA,NA,NA
Cacicus melanicterus,1,1500,0,1500,0,NA,NA,NA
Cacicus microrhynchus,1,NA,NA,1100,0,NA,NA,NA
Cacicus sclateri,1,750,0,750,0,NA,NA,NA
Cacicus solitarius,1,800,0,1300,0,1400,0,del Hoyo (2020)
Cacicus uropygialis,1,2450,1000,2450,0,2500,0,del Hoyo (2020)
Cacomantis castaneiventris,1,2100,0,2100,1200,2100,1200,del Hoyo (2020)
Cacomantis flabelliformis,1,3000,0,3000,1000,3000,1500,del Hoyo (2020)
Cacomantis heinrichi,1,1500,1000,NA,NA,NA,NA,NA
Cacomantis merulinus,1,2135,NA,2000,0,NA,NA,NA
Cacomantis passerinus,1,NA,NA,1400,0,NA,NA,NA
Cacomantis sepulcralis,1,NA,NA,1200,0,NA,NA,NA
Cacomantis sonneratii,1,2400,NA,2400,0,NA,NA,NA
Cacomantis variolosus,1,2500,0,2500,0,NA,NA,NA
Cairina moschata,1,NA,NA,1200,0,NA,NA,NA
Cairina scutulata,1,1400,0,1400,0,NA,NA,NA
Calamanthus campestris,1,NA,NA,500,0,NA,NA,NA
Calamanthus fuliginosus,1,1000,0,1000,0,NA,NA,NA
Calamospiza melanocorys,3,NA,NA,800,0,2900,0,del Hoyo (2020)
Calandrella acutirostris,3,5000,NA,5000,1000,5000,0,del Hoyo (2020)
Calandrella brachydactyla,2,1500,NA,4575,0,5000,0,del Hoyo (2020)
Calandrella cheleensis,2,NA,NA,2000,0,3700,0,del Hoyo (2020)
Calandrella cinerea,2,3000,0,3000,0,NA,NA,NA
Calandrella raytal,1,NA,NA,305,0,NA,NA,NA
Calandrella rufescens,2,3000,NA,3000,0,3000,0,del Hoyo (2020)
Calandrella somalica,2,1800,600,1800,600,NA,NA,NA
Calcarius lapponicus,3,1500,0,1500,0,NA,NA,NA
Calcarius mccownii,3,2500,0,2500,403,2500,0,del Hoyo (2020)
Calcarius ornatus,3,2500,0,1500,0,2500,0,del Hoyo (2020)
Calcarius pictus,3,1200,0,1200,0,NA,NA,NA
Calicalicus madagascariensis,1,2000,0,2000,0,NA,NA,NA
Calicalicus rufocarpalis,1,100,NA,NA,NA,100,100,del Hoyo (2020)
Calidris acuminata,3,NA,NA,800,0,700,0,del Hoyo (2020)
Calidris alba,3,200,0,200,0,NA,NA,NA
Calidris alpina,3,NA,NA,200,0,1900,0,del Hoyo (2020)
Calidris bairdii,3,4700,0,4700,2500,4700,0,del Hoyo (2020)
Calidris canutus,3,300,0,300,0,NA,NA,NA
Calidris ferruginea,3,NA,NA,150,0,2500,0,del Hoyo (2020)
Calidris fuscicollis,3,NA,NA,NA,NA,3700,0,del Hoyo (2020)
Calidris himantopus,3,NA,NA,NA,NA,3800,0,del Hoyo (2020)
Calidris maritima,3,NA,NA,300,0,1400,0,del Hoyo (2020)
Calidris mauri,3,NA,NA,2000,0,2500,0,del Hoyo (2020)
Calidris melanotos,3,4500,0,4500,0,NA,NA,NA
Calidris minuta,3,NA,NA,500,0,1900,0,del Hoyo (2020)
Calidris minutilla,3,NA,NA,1200,0,3700,0,del Hoyo (2020)
Calidris ptilocnemis,3,300,0,150,0,NA,NA,NA
Calidris pusilla,3,NA,NA,600,0,800,0,del Hoyo (2020)
Calidris ruficollis,3,NA,NA,600,0,1200,0,del Hoyo (2020)
Calidris subminuta,3,NA,NA,100,0,1100,0,del Hoyo (2020)
Calidris temminckii,3,NA,NA,1300,200,2400,0,del Hoyo (2020)
Calidris tenuirostris,3,1600,0,1600,300,NA,NA,NA
Caliechthrus leucolophus,1,1500,0,1500,0,NA,NA,NA
Callacanthis burtoni,1,3350,1800,3330,2270,3400,800,del Hoyo (2020)
Callaeas cinereus,1,NA,NA,600,0,NA,NA,NA
Callipepla californica,1,915,0,2800,0,2800,0,del Hoyo (2020)
Callipepla douglasii,1,915,0,1000,0,NA,NA,NA
Callipepla gambelii,1,1830,244,1500,0,1800,0,del Hoyo (2020)
Callipepla squamata,1,2100,800,2000,1000,NA,NA,NA
Calliphlox amethystina,1,1500,0,1500,0,NA,NA,NA
Calliphlox bryantae,1,NA,NA,1850,700,NA,NA,NA
Calliphlox evelynae,1,NA,NA,NA,NA,100,0,del Hoyo (2020)
Calliphlox mitchellii,1,NA,NA,2400,800,NA,NA,NA
Callocephalon fimbriatum,2,2000,0,2000,0,NA,NA,NA
Callonetta leucophrys,2,NA,NA,700,0,2600,0,del Hoyo (2020)
Calochaetes coccineus,1,1800,320,1800,320,NA,NA,NA
Calocitta colliei,1,1800,0,1800,0,NA,NA,NA
Calocitta formosa,1,1250,NA,1250,0,NA,NA,NA
Caloenas nicobarica,2,700,0,700,0,NA,NA,NA
Calonectris diomedea,3,NA,NA,1000,0,1200,0,del Hoyo (2020)
Calonectris edwardsii,3,NA,NA,1000,0,1000,0,del Hoyo (2020)
Calonectris leucomelas,3,NA,NA,200,0,100,0,del Hoyo (2020)
Caloperdix oculeus,1,NA,NA,1000,0,NA,NA,NA
Calorhamphus fuliginosus,1,1000,NA,1300,0,NA,NA,NA
Calothorax lucifer,1,NA,NA,2200,0,NA,NA,NA
Calothorax pulcher,1,2200,1000,2200,1000,NA,NA,NA
Calypte anna,2,1800,0,1800,0,NA,NA,NA
Calypte costae,3,1000,0,1000,0,NA,NA,NA
Calyptocichla serina,1,1300,0,1350,0,NA,NA,NA
Calyptomena hosii,1,1680,600,1680,600,NA,NA,NA
Calyptomena viridis,1,1700,0,1700,0,NA,NA,NA
Calyptomena whiteheadi,1,1980,600,1980,600,NA,NA,NA
Calyptophilus frugivorus,1,2200,1000,2000,0,2000,0,del Hoyo (2020)
Calyptophilus tertius,1,NA,NA,2200,745,NA,NA,NA
Calyptorhynchus banksii,1,NA,NA,700,0,NA,NA,NA
Calyptorhynchus baudinii,1,NA,NA,NA,NA,400,0,del Hoyo (2020)
Calyptorhynchus funereus,1,2000,NA,1800,0,NA,NA,NA
Calyptorhynchus lathami,1,NA,NA,700,0,NA,NA,NA
Calyptorhynchus latirostris,1,NA,NA,NA,NA,500,0,del Hoyo (2020)
Calyptura cristata,NA,900,NA,900,0,NA,NA,NA
Camarhynchus heliobates,1,NA,NA,NA,NA,1100,0,del Hoyo (2020)
Camarhynchus pallidus,1,500,0,NA,NA,NA,NA,NA
Camarhynchus parvulus,1,700,0,NA,NA,NA,NA,NA
Camarhynchus pauper,1,640,0,NA,NA,NA,NA,NA
Camarhynchus psittacula,1,700,300,NA,NA,NA,NA,NA
Camaroptera brachyura,1,2200,0,2200,0,NA,NA,NA
Camaroptera chloronota,1,2000,NA,2000,0,NA,NA,NA
Camaroptera fasciolata,1,NA,NA,1700,0,NA,NA,NA
Camaroptera simplex,1,NA,NA,1500,0,NA,NA,NA
Camaroptera superciliaris,1,1550,NA,1550,0,NA,NA,NA
Camaroptera undosa,1,NA,NA,1700,0,NA,NA,NA
Campephaga flava,1,2000,0,2000,900,2000,0,del Hoyo (2020)
Campephaga lobata,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Campephaga oriolina,1,NA,NA,NA,NA,1300,0,del Hoyo (2020)
Campephaga petiti,1,2000,0,2000,300,NA,NA,NA
Campephaga phoenicea,1,1600,0,1600,0,NA,NA,NA
Campephaga quiscalina,1,2500,NA,2500,0,NA,NA,NA
